State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
11,DC,37,NC,NORTH CAROLINA,705,934,25161
11,DC,48,TX,TEXAS,643,852,38236
11,DC,34,NJ,NEW JERSEY,613,705,27942
11,DC,57,FR,Foreign,553,946,43301
11,DC,13,GA,GEORGIA,515,680,20663
11,DC,39,OH,OHIO,435,500,16899
11,DC,26,MI,MICHIGAN,378,446,15445
11,DC,53,WA,WASHINGTON,347,445,17089
11,DC,9,CT,CONNECTICUT,335,382,18635
11,DC,8,CO,COLORADO,279,340,12146
11,DC,27,MN,MINNESOTA,266,290,14604
11,DC,45,SC,SOUTH CAROLINA,222,303,8023
11,DC,47,TN,TENNESSEE,215,265,9505
11,DC,29,MO,MISSOURI,210,249,9193
11,DC,4,AZ,ARIZONA,202,267,11032
11,DC,55,WI,WISCONSIN,187,210,6270
11,DC,18,IN,INDIANA,160,182,5714
11,DC,41,OR,OREGON,152,181,7217
11,DC,22,LA,LOUISIANA,117,146,4923
11,DC,33,NH,NEW HAMPSHIRE,116,127,4346
11,DC,10,DE,DELAWARE,108,129,4656
11,DC,44,RI,RHODE ISLAND,93,119,4836
11,DC,21,KY,KENTUCKY,91,104,3777
11,DC,23,ME,MAINE,90,112,3717
11,DC,50,VT,VERMONT,81,99,2366
11,DC,1,AL,ALABAMA,78,99,2988
11,DC,19,IA,IOWA,78,85,2886
11,DC,20,KS,KANSAS,77,111,3283
11,DC,35,NM,NEW MEXICO,74,96,5080
11,DC,32,NV,NEVADA,70,100,3242
11,DC,15,HI,HAWAII,65,96,3518
11,DC,54,WV,WEST VIRGINIA,65,78,3131
11,DC,49,UT,UTAH,63,79,2290
11,DC,28,MS,MISSISSIPPI,59,86,1961
11,DC,5,AR,ARKANSAS,51,74,2594
11,DC,2,AK,ALASKA,42,58,3026
11,DC,31,NE,NEBRASKA,40,52,1711
11,DC,40,OK,OKLAHOMA,40,50,1796
11,DC,30,MT,MONTANA,36,38,1084
11,DC,16,ID,IDAHO,23,27,860
11,DC,46,SD,SOUTH DAKOTA,19,22,666
11,DC,38,ND,NORTH DAKOTA,18,22,1798
11,DC,56,WY,WYOMING,16,21,482
12,FL,96,FL,FL Total Mig - US & For,223136,405424,11270514
12,FL,97,FL,FL Total Mig - US,215654,389429,10968479
12,FL,98,FL,FL Total Mig - Foreign,7482,15995,302035
12,FL,12,FL,FL Non-Migrants,6810387,13786030,334846422
12,FL,36,NY,NEW YORK,23512,40195,1309115
12,FL,13,GA,GEORGIA,16786,32264,670177
12,FL,48,TX,TEXAS,11206,21580,481883
12,FL,34,NJ,NEW JERSEY,10511,18496,778603
12,FL,6,CA,CALIFORNIA,10305,17815,501979
12,FL,37,NC,NORTH CAROLINA,10061,19050,396682
12,FL,42,PA,PENNSYLVANIA,9801,17026,556005
12,FL,39,OH,OHIO,9724,17147,503033
12,FL,51,VA,VIRGINIA,9023,17253,519921
12,FL,26,MI,MICHIGAN,8512,15354,424984
12,FL,17,IL,ILLINOIS,8182,14174,528831
12,FL,57,FR,Foreign,7482,15995,302035
12,FL,25,MA,MASSACHUSETTS,7332,12298,403802
12,FL,47,TN,TENNESSEE,6060,11554,237179
12,FL,1,AL,ALABAMA,5526,10677,208504
12,FL,24,MD,MARYLAND,5428,9593,337559
12,FL,18,IN,INDIANA,5248,9423,243867
12,FL,45,SC,SOUTH CAROLINA,4891,9201,180623
